DATAFLOW,LAST UPDATE,freq,accomunit,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,1990,650559,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,1991,654127,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,1992,653586,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,1993,651003,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,1994,650020,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,1995,646125,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,1996,640199,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,1997,633601,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,1998,584889,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,1999,576602,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,2000,588213,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,2001,587305,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,2002,569306,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,2003,566274,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,2004,570785,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,2005,571377,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,2006,572514,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,2007,573726,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,2008,579758,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,2009,587899,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,2010,589293,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,2011,594357,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,2012,594841,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,2013,601483,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,2014,598742,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,2015,600342,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,2016,601945,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,2017,609393,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,2018,615541,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,2019,607010,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,2020,608836,,
ESTAT:TOUR_CAP_NAT(1.0),10/04/25 23:00:00,A,BEDPL,NR,I551,AT,2021,601641,,
