Country Code,Number of Bed-places,Percentage of individuals
AT,601945.0,14.78
BE,129232.0,9.89
BG,281869.0,3.71
CY,83251.0,6.41
CZ,317756.0,5.32
DE,1784654.0,17.88
DK,90503.0,22.02
EE,32404.0,11.44
EL,797995.0,4.73
ES,1893978.0,13.11
FI,135177.0,19.16
FR,1312372.0,7.89
HR,167380.0,10.35
HU,181407.0,7.53
IE,150083.0,6.22
IT,2248225.0,4.84
LT,28665.0,9.99
LU,14262.0,20.83
MK,19567.0,6.86
MT,41684.0,12.59
NL,261164.0,24.35
NO,187943.0,29.63
PL,325776.0,5.12
PT,337175.0,6.63
RO,213635.0,3.17
SI,45716.0,12.79
SK,95774.0,7.3
UK,1950485.0,23.43
